Fecha,SIMEVEC,VITROA,ALPEKA,AUTLANB,CEMEX,ELEMENT,GCC,GMEXICOB,PAPPEL,PEÑOLES
09.02.2021,0.087863504,0,-0.012114686,0.001806685,-0.005453851,0.027711635,0.002182556,0.034619892,0.004357305,0.011138254
08.02.2021,0.026910588,0.004657003,0.021577601,-0.004510608,-0.003103183,0,-0.005369872,0.028402676,0.017621601,-0.014506437
05.02.2021,0.010564523,-0.00107662,-0.001117943,0.010859835,-0.007716088,0.00165426,-0.009270771,-0.004903927,-0.009730285,0.006204974
04.02.2021,-0.011862535,-0.003937718,0.001117943,-0.004539272,0.009266476,0,0.008184742,-0.036306696,-0.012248622,-0.026148163
03.02.2021,-0.003296448,0.002145924,0.00842465,-0.000905387,0.029124451,-0.053980079,0.004896446,-0.003176518,-0.006284559,-0.026118197
02.02.2021,-0.014353476,0.005745079,0.003955925,0.021958796,0.062623423,0.011041122,-0.015999105,0.040166042,0,0.073362555
29.01.2021,-0.019391348,-0.008248209,-0.01126138,-0.012867825,-0.034269965,-0.014955021,-0.00885502,-0.034022977,-0.015221647,0.019221867
28.01.2021,-0.010850016,-0.038877248,0,0.002743486,0.027490278,-0.015504187,0.01988015,0.001431482,0.010695289,0.004396343
27.01.2021,0.019867827,-0.001030043,-0.005583487,-0.016349138,-0.044598638,-0.003838776,0.021154032,-0.001211387,0,-0.071018034
26.01.2021,-0.003205498,-0.001714384,0.00334635,0.001803427,-0.004030638,0.019342963,-0.023167664,-0.015399201,0.003015294,0.016299258
25.01.2021,-0.005812313,-0.018330452,-0.003902988,0.017296744,0.007266887,0.001563722,-0.000696083,0.022578776,-0.02176318,0.001391437
22.01.2021,0.000113643,-0.013696556,0.014574249,-0.014585491,-0.029543067,-0.025493849,-0.006703936,-0.000886427,0,-0.009918998
21.01.2021,-0.001930174,-0.024902991,0.008505864,0,-0.025632471,-0.036694495,-7.67961E-05,0.007671392,0.038292482,-0.010348897
20.01.2021,0.038386216,-0.003231021,-0.019177125,0.004535155,-0.002297971,-0.001469508,-0.007421326,0.005259342,-0.030452629,-0.002972599
19.01.2021,0.019760195,-0.006110326,-0.033510414,0.005469476,0.031082533,0.001469508,0.017687327,-0.025040085,-0.010369366,-0.047813543
18.01.2021,-0.014560467,0.007078537,0.000540395,0,0.000789578,0.008121123,-0.003871772,0.0355291,0.012712036,0.02485916
15.01.2021,0.002966481,0.028493822,0.008686265,-0.005469476,0.03947351,-0.000741015,0.000154583,-0.031362428,0,-0.048367037
14.01.2021,0.002022245,-0.005631951,-0.001634432,0,0.064483743,0.017183837,0.022513262,-0.000109872,-0.002129926,-0.030954852
13.01.2021,-0.000119069,-0.004285485,-0.007051833,0.007299302,-0.011329097,0.003775014,-0.01139815,-0.016021268,0,-0.002870882
12.01.2021,-0.00118991,0.008589415,0,0,0.015720848,0.006069821,0.022687823,-0.008290761,0,-0.01615098
11.01.2021,0.004290318,-0.006284129,0.000540687,0.013831479,-0.018317128,-0.019593694,-0.025809412,-0.041688014,0.000425622,-0.008562677
08.01.2021,-0.014936266,0.010606662,0.008145579,0.001858737,-0.006890639,0.007490672,0.029654646,0.048682179,-0.00297556,-0.057585232
07.01.2021,0.008151738,0,0.001091108,-0.00464038,0.008620743,-0.01492565,0.031885932,0.011621092,-0.008032172,0.024417087
06.01.2021,0.004875448,-0.027930187,0.014847674,0,0.080187018,0,0.008488026,0.007456175,-0.0104713,-0.002099187
05.01.2021,0.035057262,-0.023063162,0.011702558,0.000926355,0.025654614,-0.047024939,0.002342705,0.023947238,0,-0.001963994
04.01.2021,0.007932615,-0.007256697,0.023824156,0.017765778,0.011616781,0.010657294,-0.005346713,0.053128272,0,0.126644947
31.12.2020,0.000746919,0.00979316,-0.021579486,0.06328145,-0.009689998,0.070269196,0.002168655,-0.025585247,0,-0.030816647
30.12.2020,0.029060794,0.016322974,-0.00504344,0.005037794,0.010664182,-0.003060446,0.014974622,-0.003932005,0,0.004501652
29.12.2020,0.039354055,0.002584816,0.00729316,0,-0.00583092,0.006899222,-0.000254248,0.017464642,0,-0.001993615
28.12.2020,0.040827551,0.001943006,-0.003372684,-0.005037794,0.006806054,0.016285742,0.015456522,0.034411998,0,0.010416307
24.12.2020,0.065288907,0.004548416,0.018692133,0,-0.011639317,0.023735291,0.007081816,-0.014003126,0.002085506,-0.007091404
23.12.2020,-0.000741125,0.007189573,0.012079526,0.005037794,0.021443317,0.008846057,0.013261405,0.037247117,-0.002085506,0.01036339
22.12.2020,0.040365241,0.009225766,-0.022884294,-0.005037794,-0.007850874,-0.009646377,-0.007263213,-0.042388516,0.006269613,-0.039643797
21.12.2020,-0.028590755,0.009311674,0.013094409,0.00301963,-0.006819315,-0.033821548,-0.00911346,0.005021531,-0.01560094,0.013962475
18.12.2020,0.025817683,-0.026052586,-0.00457405,0.006066753,-0.03996726,0.002322881,-0.013217942,0.011573366,0.009331327,-0.014159328
17.12.2020,0.004162497,0.015748357,0.00228441,0.030898442,0.018832948,0.033099948,-0.009926692,0.025918051,0,0.033801685
16.12.2020,-0.018823725,-0.001321877,0.016138679,-0.009370188,0,0.021872075,-0.02187796,-0.008919782,-0.00415801,0.041693737
15.12.2020,-0.000303168,-0.003626178,0.001744694,0.005194817,-0.005687219,0.018182319,0.020612404,0.041680569,-0.016461277,0.031137511
14.12.2020,-0.001514463,-0.000329001,-0.017883372,0.0104713,-0.016870128,0.011745101,-0.008730747,-0.008960633,-0.003056548,-0.015181677
11.12.2020,0.008205486,0.013245227,-0.001142857,0.005277057,-0.021150214,0.029980832,0.007551005,0.003702526,0.002648468,-0.01837883
10.12.2020,0.000915891,-0.003992021,0.014380461,0.008501645,0.037075609,0.000869944,0.013310357,0.017548837,0.01066458,0.015855441
09.12.2020,0.007511341,-0.00033195,-0.024607823,-0.066071497,-0.034342122,0.016674366,0.023924793,-0.01984857,0.010362787,-0.043423642
08.12.2020,-0.01738909,-0.003644198,-0.006198949,0.0009995,-0.018083675,-0.026202372,0.008515172,-0.002930872,-0.004365458,0.001590387
07.12.2020,0.015083702,-0.013140794,0.0067644,-0.014888612,0.015350189,-0.002582868,0.002206435,-0.021276059,0.000207447,0.014428465
04.12.2020,-0.008560126,-0.00195631,-0.005077585,-0.007850874,0.038020342,0.00690253,0.017019792,-0.010532282,0,-0.046850258
03.12.2020,-0.007732583,-0.025724891,-0.012860116,-0.026050677,0.059384842,-0.001730104,0.018870196,0.029393649,-0.010320009,0.041690303
02.12.2020,-0.003618276,0.041483589,-0.000555401,0,-0.005002512,0.006068506,-0.001189877,0.04903772,0.001232792,0.063400754
01.12.2020,0.00694657,-0.079788132,0.0235966,0.009569451,0.085379612,-0.000869187,0.029708832,0.022515275,0.002264074,0.061776272
30.11.2020,-0.002875087,-0.007912397,0.057927863,-0.008616616,-0.011885607,0,0.005575257,0.02792937,-0.003291507,-0.003197956
27.11.2020,0.017991033,-0.004536527,0.017011346,0.041855258,0.002150538,0.022848094,-0.004632483,-0.031875758,0.009907202,-0.02141324
26.11.2020,-0.015267472,0.099877019,0.006146301,-0.050398262,-0.013896536,0.002670229,0.007574359,0.034824577,-0.045019768,0.003790318
25.11.2020,0,0.090320979,-0.029163671,-0.029797363,-0.038526368,0.001784122,-0.007951575,0.019597333,-0.011239397,-0.001913434
24.11.2020,0.000303076,0.07697564,0.012654583,0.012927235,0.05349991,0.00896867,0.005768065,0.026889201,0.001177163,-0.019873066
23.11.2020,0.018046062,0.012693546,-0.003631965,0,0.005402498,-0.00896867,0.003419781,0.022044384,0.00452534,-0.000839712
20.11.2020,0,0.02179263,0.000604412,0,-0.023555693,0.00896867,0.007929347,0.0084695,0.014100124,0.007517858
19.11.2020,-0.002773927,0.002042067,-0.012019375,0,-0.030226376,0,-0.006596267,-0.019850276,0.050241216,-0.023149182
18.11.2020,0.034442979,0.001636662,0.025409716,0.0009298,0.044078489,0,-0.016443387,-0.000297752,-0.014614039,-0.012538656
17.11.2020,-0.030897149,0.001229256,0.021679387,-0.013857035,0.027190365,0.009049836,0.015110307,0.030069501,0.018829008,-0.042942716
13.11.2020,0.011650617,-0.008166644,0.012602561,0,0.00331309,0,0.006874848,0.018110548,0.007206475,0.034224047
12.11.2020,-0.028951822,-0.007293387,0.002539684,0.011998298,-0.01754431,0,-0.006018072,0.000468713,-0.028519442,-0.00790273
11.11.2020,0.013447635,-0.009242581,0.006377573,-0.001855288,-0.001086366,0,0.032326438,-0.005920865,-0.020463165,-0.003820444
10.11.2020,-0.018293193,0.001601281,0.010936101,0.003714025,0.055818059,0,-0.00910655,0.01471075,0.007522654,0.035271451
09.11.2020,0.018293193,-0.001601281,-0.032455919,0.009345862,0.043408574,0,-0.002725593,0.016051199,-0.014385822,-0.116621414
06.11.2020,0.023347364,0.00080032,0.008173576,0.014184635,-0.02953552,0,-0.007843177,0.006106399,0.051600386,-0.002661233
05.11.2020,0.00790518,0.006022905,0.005063302,0.022148233,0.017616427,0,0.00464038,0.015103819,0.015153422,0.045493278
04.11.2020,0.000635122,-0.005622505,-0.005694416,0.007820177,-0.064242269,0,-0.033727118,-0.00928421,0.041494263,0.011846434
03.11.2020,-0.016383479,-0.007182792,-0.000630716,0.02887209,0.027028672,-0.018018506,-0.000655584,0.023457157,0.104837601,-0.011254473
